SEP=	
Id de Tracker	Id de Vehículo	Placa	Descripción	Odómetro(km)	
A9CB	3167	EQS020	5654	"425.997"	
ABEB	3173	SMU575	8127	"241.547"	
ABBI	3183	STW612	5609	"518.952"	
ABMB	3184	TSK118	5079	"159.231"	
A424	3196	TPS758	8198	"493.038"	
A9CC	3206	EQS000	5650	"401.381"	
A3VM	3207	FWK158	5203	"349.583"	
A3VT	3221	TPZ312	8262	"349.025"	
A3Z2	3271	TPU709	8110	"430.505"	
A42T	3292	TSZ968	5571	"566.036"	
A387	3298	TSG602	8194	"455.732"	
ABIE	3302	WDY390	5589	"217.620"	
A3LE	3306	TTN234	5553	"564.698"	
A3LH	3324	SMV876	5532	"481.301"	
A9WW	3333	EQS607	5649	"289.458"	
A9AG	3336	EQS019	5653	"194.311"	
A3TC	3362	TTM523	5585	"558.352"	
A3ZJ	3371	EQR918	5518	"570.118"	
A3KJ	3378	STX139	5639	"584.684"	
A3QG	3379	SMU051	5059	"606.049"	
A42F	3383	TSY988	5551	"547.619"	
A97W	3386	WMR336	5655	"272.244"	
A408	3390	TPW057	8123	"422.912"	
A3NE	3400	TSI723	5607	"925.416"	
A37V	3409	TSF510	8193	"513.089"	
A423	3424	TPU781	5084 	"429.795"	
A3LG	3425	TPT814	8100	"491.771"	
A3VV	3450	TSJ438	5040	"521.069"	
A3TS	3460	TSH933	5022	"425.484"	
A3XI	3465	SMU745	5083	"522.759"	
A3U8	3475	EQS361	5027	"643.514"	
A3X7	3477	EQT085	5511	"490.447"	
A42U	3478	TSJ628	5026	"520.601"	
A3ZI	3479	WDX688	8146	"484.313"	
A3LW	3493	SMT954	8185	"462.392"	
AC1P	3515	STW603	5564	"581.541"	
A385	3520	SMV567	8129	"495.247"	
A38I	3530	TPY223	5025	"448.983"	
A3Q7	3534	TSI566	5608	"841.849"	
A3NI	3573	TSI747	5542	"850.850"	
A38A	3578	EQS255	5066	"831.771"	
A3TV	3919	TSE116	C409	"475.937"	
A7ZT	14237	TSZ996	5508	"171.998"	
ACBV	14574	TPS695	5512	"134.259"	
ACC4	14618	TPT257	8124	"88.801"	
ACF9	15157	SMU226	5039	"153.413"	
ACFD	15161	TSH152	5230	"121.323"	
ACGK	15219	SMX591	C421	"595.889"	
ACGU	15233	TSY725	CB089	"616.412"	
AAWR	15596	STV441	5558	"119.612"	
A3KG	16453	TTM099	5029	"959.862"	
A3LC	16454	EQS125	8190	"332.584"	
A3TK	16462	SMT947	8103	"376.262"	
A3TT	16463	TSZ345	8126	"352.654"	
A3TZ	16465	TSE429	8151	"285.593"	
A3V3	16467	EQT566	8173	"407.289"	
A42M	16487	STV675	8267	"243.532"	
A3LL	16746	WMR339	5658	"264.666"	
A3LB	16777	TPZ458	8108	"363.246"	
A3VP	16781	TPT254	5033	"308.719"	
A3UN	16783	TSI599	5630	"292.308"	
A409	16784	TPT259	5099	"265.845"	
A3LD	16818	TPP935	8184	"371.260"	
A3L7	16916	TSH185	8265	"354.930"	
ACBI	17045	FVY659	5021	"229.299"	
A3UA	17141	TPR842	8119	"370.472"	
A3TX	17155	TSF553	8132	"395.283"	
ABIU	17286	TPT253	8102	"146.961"	
A3V1	17325	TPX456	C423	"496.238"	
A3TB	17357	TSI757	5524	"704.497"	
A381	17397	TPX721	8153	"472.120"	
A3KH	17459	TSI456	8264	"373.365"	
A3KD	17466	TPZ386	5052	"337.212"	
A3ME	17559	SMV546	5015	"478.334"	
A40A	17582	STU895	C408	"391.231"	
A3X2	17611	TSJ434	5035	"319.358"	
A40K	17618	TSE578	8125	"500.165"	
A3V8	17654	TSG755	C426	"500.059"	
A42K	17674	SMV719	5061	"553.788"	
A3QC	17737	TPX827	5680	"399.300"	
A3L8	17767	TPN425	C404	"417.504"	
A3L3	17787	TSJ371	5670	"374.830"	
ABLM	17812	SMV730	5049	"162.164"	
A37X	17823	STW439	5070	"466.380"	
A3K9	17843	TPU109	5065	"455.052"	
AD9B	18413	EQR908	5533	"134.932"	
ADAJ	18456	SMU225	5014	"159.546"	
ADAP	18461	SMU718	5057	"182.432"	
ADAT	18465	SMU772	8107	"121.237"	
ADAU	18466	STW065	8200	"130.727"	
ADRZ	19031	STV442	5090	"106.082"	
ADSK	19052	EQS545	5501	"84.213"	
ADT9	19076	STW627	5517	"556.240"	
ADUU	19131	TSI918	CB157	"142.495"	
ADVE	19151	STW602	CB059	"488.335"	
ADVK	19157	TSJ560	CB015	"697.423"	
ADVL	19158	EQR920	5538	"123.696"	
ADVR	19163	EQS021	CB100	"384.542"	
ADXU	19236	TPW934	8128	"46.908"	
ADXW	19238	TSI567	5567	"860.424"	
ADY1	19243	TSZ244	5504	"596.513"	
ADY2	19244	SMV491	5536	"112.817"	
ADY5	19247	TSI568	5541	"798.654"	
ADY7	19249	EQS756	5559	"165.114"	
ADYH	19259	TSG209	5030	"118.514"	
ADYJ	19261	TSI943	5094	"70.244"	
ADYS	19269	TSK979	5223	"131.412"	
ADYU	19271	WDY393	5505	"521.298"	
ADYW	19273	SMT713	5020	"699.476"	
ADZ5	19282	TPU784	8134	"67.433"	
ADZ6	19283	TSY862	C418	"127.450"	
ADZC	19289	SMU227	8178	"115.157"	
ADZI	19295	WDX932	5563	"526.696"	
ADZN	19300	WMR337	5656	"290.570"	
ADZS	19304	EQS610	5663	"203.643"	
ADZU	19306	SMV808	5596	"544.643"	
ADZX	19309	SMU224	5048	"145.057"	
ADZZ	19311	WDX789	5565	"598.739"	
AE00	19312	SMV809	5599	"627.515"	
AE02	19314	WDY383	5537	"403.366"	
AE03	19315	SMV720	5535	"599.090"	
AE15	19352	EQT160	5531	"145.101"	
AE1G	19363	SMT714	5503	"98.654"	
AE1I	19365	EQT161	5054	"154.113"	
AE1S	19374	SMV489	5547	"151.970"	
AE1T	19375	EQR905	5521	"161.580"	
AE1Z	19381	EQS442	5526	"140.441"	
AE4J	19471	TSY870	CB064	"157.852"	
AE8K	19612	TTM060	5544	"482.812"	
AE8Q	19617	EQT493	5591	"604.574"	
AE8V	19622	EQW013	5595	"205.637"	
AE9M	19649	EQT621	5594	"146.522"	
AE9T	19655	TSE433	8180	"96.795"	
AEAG	19678	EQT162	5056	"101.616"	
AEB2	19699	TPX058	8117	"326.509"	
A3ZK	19701	TSE103	C402	"444.506"	
AEC4	19737	STW642	5604	"653.493"	
AEGP	19898	EQW003	5616	"352.104"	
AEHE	19923	TSJ337	8266	"404.971"	
AEHF	19924	EQR912	5522	"701.689"	
AEHG	19925	STX023	C401	"80.627"	
AEHI	19927	STV618	5576	"127.095"	
AEHJ	19928	STV427	5578	"139.860"	
AEHK	19929	STX062	C407	"131.505"	
AEHL	19930	EQS198	C411	"85.184"	
AEHM	19931	TTM299	5545	"124.861"	
AEHP	19933	SMU287	5506	"108.900"	
AEJC	19991	TTM300	5548	"477.914"	
AEKE	20028	TSE042	5043	"601.631"	
AEL3	20052	TSE431	5640	"77.318"	
AEPH	20181	TSI900	CB232	"114.505"	
AEPP	20188	WDY296	5525	"111.173"	
AEPY	20200	SMV271	5008	"559.923"	
AEQ0	20202	SMU422	5087	"538.711"	
AERY	20281	EQS441	5527	"638.796"	
AEUR	20392	STV964	C414	"120.136"	
AEUT	20394	SMU043	5018	"626.839"	
AEUW	20397	TSY863	5507	"560.334"	
AEV9	20411	TSJ221	5216	"113.287"	
AEVC	20414	EQT789	5592	"650.108"	
AEVD	20415	SMU511	5218	"115.971"	
AEVE	20416	TSJ803	5062	"120.039"	
AEXH	20491	SMX588	C417	"114.613"	
AEZV	20575	SMU165	5221	"746.082"	
AEZX	20577	SMV446	5204	"129.079"	
AEZZ	20579	TTN341	5046	"144.434"	
AF3G	20701	SMU375	5024	"72.960"	
AF4H	20737	TSE430	8140	"37.955"	
AF5E	20769	TPU811	8195	"101.373"	
AF5N	20778	STW858	5012	"93.644"	
AF5W	20786	TSJ015	5082	"96.447"	
AF67	20797	EQR904	5519	"97.229"	
AF7H	20842	SMV606	5075	"68.641"	
AF7R	20851	SMV496	5081	"127.462"	
AF7V	20855	STX011	5051	"93.581"	
AF7Z	20859	SMU228	5220	"48.930"	
AF85	20865	TPZ552	8118	"70.645"	
AF86	20866	SMT955	5073	"117.020"	
AF87	20867	SMT838	5034	"83.527"	
AF88	20868	EQT457	5031	"104.736"	
AF8B	20871	TSY607	C420	"107.949"	
AF8D	20873	TSH046	5011	"72.869"	
AF8E	20874	STW900	5212	"117.550"	
AF8G	20876	TSG213	C405	"4140"	
AF8S	20887	TPW035	5610	"2926"	
AFAV	20961	EQR919	5523	"4909"	
AFFP	21131	TSK104	5067	"466.760"	
AFKQ	21307	TPV708	8189	"22.402"	
AFKV	21312	TPX507	8196	"45.859"	
AFLH	21334	TSE432	5601	"61.257"	
AFUB	21608	TSZ999	5254	"104.533"	
AFUL	21618	EQS618	5007	"116.156"	
AFZQ	21797	WMR331	5520	"90.449"	
AG0P	21831	WDZ475	C415	"51.507"	
AG0U	21836	TPT258	8114	"57.328"	
AGLZ	22576	EQR910	5546	"49.269"	
AGMG	22593	TSY744	5513	"33.559"
